Trial Number, Time, Power, Voltage, actualx, actualy, EncoderX, En/coderY, AccelDispX, AccelDispY
20,2.0,1.0,5.63,-1.7779999999999998,30.733999999999998,-1.02095467909,30.9657762145,0.750127402584,35.1542505324
21,2.0,1.0,5.63,-1.0033,30.226000000000003,-0.776826228694,30.625965158,-0.29040064118500003,33.365703773999996
22,2.0,1.0,5.62,-1.2954,30.7086,-0.892593776578,31.028744030299997,-3.94446557001,31.3194771711
23,2.0,1.0,5.62,-1.7779999999999998,30.2514,-0.923179367649,30.692377480799998,-4.265231051280001,30.2997914619
24,2.0,1.0,5.62,-0.8128000000000001,30.861,-1.06479324181,31.1587387082,-5.0665451594099995,30.726232820499998
25,2.0,1.0,5.63,-0.8128000000000001,30.861,-0.9600945003300001,31.7378905389,-3.02829640179,32.0903533818
26,2.0,1.0,5.63,-1.016,32.131,-1.05327804622,32.3887910642,-5.85077235569,29.653546890799998
27,2.0,1.0,5.62,-1.1938,31.369,-0.952794369465,31.773747566799997,-5.49874374599,28.3368702945
28,2.0,1.0,5.62,-1.0413999999999999,31.267400000000002,-1.16729391984,31.7608690004,-6.47407607116,29.684843910499996
29,2.0,1.0,5.64,-1.3208,31.1404,-1.40130511493,31.5752096128,-10.7123364423,32.616756278699995
30,2.0,1.0,5.63,-1.3208,31.115000000000002,-1.36835486935,31.5645524413,-2.0418107664600003,36.4170931146
31,2.0,1.0,5.64,-0.8001,30.3022,-1.43535740057,30.601636037899997,-1.16237268385,32.2002371951
32,2.0,1.0,5.63,-1.0795,30.988,-1.22391433422,31.188075580899998,-6.04560649863,32.3769495875
33,2.0,1.0,5.63,-1.27,31.1912,-5.68375456975,31.3201935714,-3.7692923071099997,31.5420628163
34,2.0,1.0,5.63,-1.016,31.4325,-1.0633143382999999,31.6409934449,2.8687849566000003,35.780564898099996
35,2.0,1.0,5.63,-1.016,31.445200000000003,-0.9820714481759999,31.7021668672,2.97548608219,35.554104078
36,2.0,1.0,5.62,-1.27,30.988,-1.1353108674,31.326016337200002,0.394499572356,33.2676479648
37,2.0,1.0,5.61,-1.0287000000000002,30.9626,-1.1162552163700001,31.173564876100002,0.467887636956,33.292184010300005
38,2.0,1.0,5.62,-1.016,30.988,-4.85700710202,31.3526931049,-1.9446718886899999,31.0975851355
39,2.0,1.0,5.61,-1.143,31.242,-0.927386820481,31.509906453499998,-9.39972298639,32.369307925899996
40,2.0,1.0,5.6,-1.016,31.496000000000002,-0.950561751537,32.0199340268,-11.921829414,31.092187481499998
41,2.0,1.0,5.61,-1.016,30.988,-1.19705741022,31.3055853294,-9.129809590359999,31.3195685413
42,2.0,1.0,5.6,-0.9906,30.861,-1.1955181752200001,31.194683914299997,-6.53772548536,32.1182272865
43,2.0,1.0,5.6,-1.1684,30.988,-1.26194861247,31.4801080575,-2.17600632652,35.4882651135
44,2.0,1.0,5.58,-0.9398,30.988,-1.0574985731,31.3637995611,1.18708118964,36.3647440092
45,2.0,1.0,5.6,-1.01854,30.988,-1.19124483162,31.129538586099997,2.8401804248,34.708236133999996
46,2.0,1.0,5.58,-1.016,31.115000000000002,-1.00327452864,31.312868779600002,1.10602968803,36.0495673438
47,2.0,1.0,5.58,-0.8636,31.064200000000003,-1.16326577054,31.372295443600002,-1.53078878078,33.0767504697
48,2.0,1.0,5.58,-0.7365999999999999,31.2166,-1.04761110563,31.441299255900002,-3.3131958225,33.0155731812
49,2.0,1.0,5.6,-0.8255,30.988,-1.26534040597,31.303581607499996,-5.83935271698,30.7034711597
50,2.0,1.0,5.58,-1.0795,31.1658,-1.23161226704,31.298993775,-7.19895370509,29.406377460599998
